arch_config,gpu latency,cpu latency
"{'wid': None, 'ks': [5, 3, 5, 5, 7, 3, 7, 5, 7, 3, 3, 3, 3, 7, 3, 3, 5, 7, 7, 5], 'e': [6, 6, 3, 6, 6, 3, 3, 4, 3, 4, 4, 4, 4, 3, 6, 4, 4, 4, 6, 6], 'd': [2, 3, 2, 3, 3], 'r': [176]}",12.14,34.71
"{'wid': None, 'ks': [3, 7, 3, 3, 7, 7, 5, 3, 5, 3, 7, 7, 3, 3, 7, 7, 3, 7, 5, 5], 'e': [3, 4, 6, 4, 4, 6, 6, 6, 3, 3, 3, 4, 4, 6, 3, 4, 3, 4, 3, 6], 'd': [2, 2, 2, 4, 2], 'r': [160]}",14.3,32.43
"{'wid': None, 'ks': [7, 3, 3, 7, 3, 7, 3, 3, 5, 5, 7, 7, 5, 5, 5, 7, 5, 5, 7, 3], 'e': [3, 3, 6, 6, 4, 4, 3, 3, 4, 3, 6, 6, 6, 6, 3, 4, 4, 4, 4, 3], 'd': [3, 3, 2, 4, 3], 'r': [160]}",14.0,33.68
"{'wid': None, 'ks': [5, 7, 7, 3, 7, 3, 5, 3, 7, 5, 5, 7, 7, 3, 7, 7, 5, 3, 7, 5], 'e': [6, 4, 4, 3, 3, 3, 4, 4, 3, 6, 4, 6, 3, 4, 6, 4, 3, 3, 6, 3], 'd': [2, 2, 2, 2, 2], 'r': [176]}",9.49,26.57
"{'wid': None, 'ks': [5, 3, 3, 5, 5, 7, 3, 7, 7, 7, 7, 3, 5, 7, 5, 3, 7, 7, 3, 5], 'e': [3, 6, 4, 6, 3, 6, 6, 3, 6, 4, 6, 4, 6, 4, 4, 3, 3, 6, 4, 3], 'd': [2, 3, 2, 2, 3], 'r': [160]}",13.55,31.8
"{'wid': None, 'ks': [3, 5, 3, 5, 3, 5, 5, 7, 7, 3, 7, 5, 5, 5, 7, 5, 3, 7, 5, 7], 'e': [3, 6, 3, 4, 6, 6, 6, 4, 3, 6, 4, 4, 3, 4, 4, 3, 6, 6, 4, 4], 'd': [2, 2, 4, 4, 4], 'r': [224]}",14.5,46.65
"{'wid': None, 'ks': [7, 7, 7, 5, 3, 3, 3, 3, 5, 7, 3, 7, 5, 5, 7, 5, 5, 7, 7, 5], 'e': [6, 4, 6, 4, 6, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 6, 6, 3, 3, 3], 'd': [2, 3, 4, 4, 3], 'r': [224]}",14.46,47.01
"{'wid': None, 'ks': [7, 7, 7, 3, 7, 7, 7, 7, 5, 7, 7, 7, 3, 3, 7, 3, 7, 5, 3, 3], 'e': [4, 6, 3, 4, 3, 4, 6, 6, 6, 3, 4, 4, 6, 3, 3, 3, 3, 6, 3, 6], 'd': [2, 3, 3, 2, 4], 'r': [176]}",13.81,37.22
"{'wid': None, 'ks': [5, 7, 5, 3, 7, 3, 5, 5, 5, 3, 3, 3, 5, 5, 7, 3, 3, 5, 5, 3], 'e': [6, 4, 3, 6, 3, 4, 3, 6, 4, 4, 3, 6, 6, 4, 4, 3, 3, 3, 3, 4], 'd': [2, 2, 4, 3, 4], 'r': [176]}",13.83,35.87
"{'wid': None, 'ks': [3, 7, 7, 5, 5, 5, 3, 7, 7, 5, 7, 3, 5, 3, 7, 5, 7, 3, 3, 7], 'e': [4, 4, 6, 3, 4, 6, 3, 6, 4, 3, 4, 3, 3, 6, 4, 6, 3, 4, 3, 4], 'd': [3, 2, 4, 4, 4], 'r': [160]}",14.97,37.46
