arch_config,gpu latency,cpu latency
"{'wid': None, 'ks': [7, 5, 5, 3, 3, 5, 7, 3, 7, 7, 7, 5, 3, 5, 3, 3, 3, 3, 7, 3], 'e': [4, 6, 6, 3, 4, 4, 6, 6, 3, 3, 4, 3, 3, 6, 6, 6, 4, 3, 3, 6], 'd': [4, 2, 2, 3, 3], 'r': [208]}",14.0,80.53
"{'wid': None, 'ks': [7, 5, 5, 3, 3, 5, 7, 3, 7, 7, 7, 5, 3, 5, 3, 3, 3, 3, 7, 3], 'e': [4, 6, 6, 3, 4, 4, 6, 6, 3, 3, 4, 3, 3, 6, 6, 6, 4, 3, 3, 6], 'd': [4, 2, 2, 3, 3], 'r': [224]}",12.83,72.72
"{'wid': None, 'ks': [5, 7, 7, 7, 5, 7, 3, 7, 7, 5, 5, 7, 7, 5, 3, 3, 3, 3, 5, 3], 'e': [6, 4, 3, 4, 4, 4, 3, 4, 3, 6, 4, 6, 4, 6, 6, 3, 4, 6, 3, 6], 'd': [4, 2, 4, 3, 4], 'r': [160]}",17.93,97.0
"{'wid': None, 'ks': [5, 7, 7, 7, 5, 7, 3, 7, 7, 5, 5, 7, 7, 5, 3, 3, 3, 3, 5, 3], 'e': [6, 4, 3, 4, 4, 4, 3, 4, 3, 6, 4, 6, 4, 6, 6, 3, 4, 6, 3, 6], 'd': [4, 2, 4, 3, 4], 'r': [176]}",17.67,120.91
"{'wid': None, 'ks': [5, 7, 7, 7, 5, 7, 3, 7, 7, 5, 5, 7, 7, 5, 3, 3, 3, 3, 5, 3], 'e': [6, 4, 3, 4, 4, 4, 3, 4, 3, 6, 4, 6, 4, 6, 6, 3, 4, 6, 3, 6], 'd': [4, 2, 4, 3, 4], 'r': [192]}",17.49,130.81
"{'wid': None, 'ks': [5, 7, 7, 7, 5, 7, 3, 7, 7, 5, 5, 7, 7, 5, 3, 3, 3, 3, 5, 3], 'e': [6, 4, 3, 4, 4, 4, 3, 4, 3, 6, 4, 6, 4, 6, 6, 3, 4, 6, 3, 6], 'd': [4, 2, 4, 3, 4], 'r': [208]}",17.75,141.66
"{'wid': None, 'ks': [5, 7, 7, 7, 5, 7, 3, 7, 7, 5, 5, 7, 7, 5, 3, 3, 3, 3, 5, 3], 'e': [6, 4, 3, 4, 4, 4, 3, 4, 3, 6, 4, 6, 4, 6, 6, 3, 4, 6, 3, 6], 'd': [4, 2, 4, 3, 4], 'r': [224]}",18.55,102.47
"{'wid': None, 'ks': [3, 7, 5, 3, 5, 5, 7, 7, 3, 5, 7, 5, 3, 7, 3, 5, 5, 5, 7, 7], 'e': [3, 6, 4, 3, 3, 3, 3, 4, 6, 4, 6, 3, 6, 4, 4, 3, 4, 4, 3, 4], 'd': [4, 3, 3, 3, 4], 'r': [160]}",16.81,107.01
"{'wid': None, 'ks': [3, 7, 5, 3, 5, 5, 7, 7, 3, 5, 7, 5, 3, 7, 3, 5, 5, 5, 7, 7], 'e': [3, 6, 4, 3, 3, 3, 3, 4, 6, 4, 6, 3, 6, 4, 4, 3, 4, 4, 3, 4], 'd': [4, 3, 3, 3, 4], 'r': [176]}",16.21,81.91
"{'wid': None, 'ks': [3, 7, 5, 3, 5, 5, 7, 7, 3, 5, 7, 5, 3, 7, 3, 5, 5, 5, 7, 7], 'e': [3, 6, 4, 3, 3, 3, 3, 4, 6, 4, 6, 3, 6, 4, 4, 3, 4, 4, 3, 4], 'd': [4, 3, 3, 3, 4], 'r': [192]}",17.36,92.12
"{'wid': None, 'ks': [3, 7, 5, 3, 5, 5, 7, 7, 3, 5, 7, 5, 3, 7, 3, 5, 5, 5, 7, 7], 'e': [3, 6, 4, 3, 3, 3, 3, 4, 6, 4, 6, 3, 6, 4, 4, 3, 4, 4, 3, 4], 'd': [4, 3, 3, 3, 4], 'r': [208]}",16.25,104.67
"{'wid': None, 'ks': [3, 7, 5, 3, 5, 5, 7, 7, 3, 5, 7, 5, 3, 7, 3, 5, 5, 5, 7, 7], 'e': [3, 6, 4, 3, 3, 3, 3, 4, 6, 4, 6, 3, 6, 4, 4, 3, 4, 4, 3, 4], 'd': [4, 3, 3, 3, 4], 'r': [224]}",16.83,140.13
"{'wid': None, 'ks': [3, 3, 5, 5, 3, 3, 5, 3, 3, 5, 7, 7, 3, 5, 7, 5, 3, 5, 7, 5], 'e': [6, 6, 4, 3, 6, 3, 3, 3, 4, 4, 6, 3, 4, 4, 3, 6, 4, 3, 6, 4], 'd': [4, 4, 4, 3, 2], 'r': [160]}",15.1,89.34
"{'wid': None, 'ks': [3, 3, 5, 5, 3, 3, 5, 3, 3, 5, 7, 7, 3, 5, 7, 5, 3, 5, 7, 5], 'e': [6, 6, 4, 3, 6, 3, 3, 3, 4, 4, 6, 3, 4, 4, 3, 6, 4, 3, 6, 4], 'd': [4, 4, 4, 3, 2], 'r': [176]}",15.52,100.62
"{'wid': None, 'ks': [3, 3, 5, 5, 3, 3, 5, 3, 3, 5, 7, 7, 3, 5, 7, 5, 3, 5, 7, 5], 'e': [6, 6, 4, 3, 6, 3, 3, 3, 4, 4, 6, 3, 4, 4, 3, 6, 4, 3, 6, 4], 'd': [4, 4, 4, 3, 2], 'r': [192]}",14.77,89.38
"{'wid': None, 'ks': [3, 3, 5, 5, 3, 3, 5, 3, 3, 5, 7, 7, 3, 5, 7, 5, 3, 5, 7, 5], 'e': [6, 6, 4, 3, 6, 3, 3, 3, 4, 4, 6, 3, 4, 4, 3, 6, 4, 3, 6, 4], 'd': [4, 4, 4, 3, 2], 'r': [208]}",14.73,114.81
"{'wid': None, 'ks': [3, 3, 5, 5, 3, 3, 5, 3, 3, 5, 7, 7, 3, 5, 7, 5, 3, 5, 7, 5], 'e': [6, 6, 4, 3, 6, 3, 3, 3, 4, 4, 6, 3, 4, 4, 3, 6, 4, 3, 6, 4], 'd': [4, 4, 4, 3, 2], 'r': [224]}",18.22,102.79
"{'wid': None, 'ks': [7, 7, 3, 3, 5, 3, 3, 7, 3, 3, 3, 7, 7, 7, 7, 5, 5, 7, 5, 3], 'e': [3, 6, 4, 4, 6, 3, 3, 6, 6, 6, 4, 3, 4, 4, 4, 4, 4, 6, 6, 6], 'd': [2, 2, 3, 2, 3], 'r': [160]}",11.29,58.74
"{'wid': None, 'ks': [7, 7, 3, 3, 5, 3, 3, 7, 3, 3, 3, 7, 7, 7, 7, 5, 5, 7, 5, 3], 'e': [3, 6, 4, 4, 6, 3, 3, 6, 6, 6, 4, 3, 4, 4, 4, 4, 4, 6, 6, 6], 'd': [2, 2, 3, 2, 3], 'r': [176]}",15.46,77.36
"{'wid': None, 'ks': [7, 7, 3, 3, 5, 3, 3, 7, 3, 3, 3, 7, 7, 7, 7, 5, 5, 7, 5, 3], 'e': [3, 6, 4, 4, 6, 3, 3, 6, 6, 6, 4, 3, 4, 4, 4, 4, 4, 6, 6, 6], 'd': [2, 2, 3, 2, 3], 'r': [192]}",11.66,74.7
"{'wid': None, 'ks': [7, 7, 3, 3, 5, 3, 3, 7, 3, 3, 3, 7, 7, 7, 7, 5, 5, 7, 5, 3], 'e': [3, 6, 4, 4, 6, 3, 3, 6, 6, 6, 4, 3, 4, 4, 4, 4, 4, 6, 6, 6], 'd': [2, 2, 3, 2, 3], 'r': [208]}",11.76,85.95
